Name,Price,Review,Rating,Availability
"A Light in the Attic","51.77","0","Three","In stock (22 available)"
"Rip it Up and Start Again","35.02","0","Five","In stock (19 available)"
"Tipping the Velvet","53.74","0","One","In stock (20 available)"
"Sharp Objects","47.82","0","Four","In stock (20 available)"
"Sapiens: A Brief History of Humankind","54.23","0","Five","In stock (20 available)"
"Shakespeare's Sonnets","20.66","0","Four","In stock (19 available)"
"Soumission","50.1","0","One","In stock (20 available)"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","17.93","0","Three","In stock (19 available)"
"Set Me Free","17.46","0","Five","In stock (19 available)"
"Starving Hearts (Triangular Trade Trilogy, #1)","13.99","0","Two","In stock (19 available)"
"The Requiem Red","22.65","0","One","In stock (19 available)"
"Mesaerion: The Best Science Fiction Stories 1800-1849","37.59","0","One","In stock (19 available)"
"Olio","23.88","0","One","In stock (19 available)"
"The Black Maria","52.15","0","One","In stock (19 available)"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","57.25","0","Three","In stock (19 available)"
"It's Only the Himalayas","45.17","0","Two","In stock (19 available)"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","22.6","0","Four","In stock (19 available)"
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","52.29","0","Five","In stock (19 available)"
"Libertarianism for Beginners","51.33","0","Two","In stock (19 available)"
"The Dirty Little Secrets of Getting Your Dream Job","33.34","0","Four","In stock (19 available)"
"In Her Wake","12.84","0","One","In stock (19 available)"
"How Music Works","37.32","0","Two","In stock (19 available)"
"Aladdin and His Wonderful Lamp","53.13","0","Three","In stock (19 available)"
"Black Dust","34.53","0","Five","In stock (19 available)"
"Chase Me (Paris Nights #2)","25.27","0","Five","In stock (19 available)"
"Wall and Piece","44.18","0","Four","In stock (18 available)"
"Sophie's World","15.94","0","Five","In stock (18 available)"
"The Elephant Tree","23.82","0","Five","In stock (18 available)"
"Birdsong: A Story in Pictures","54.64","0","Three","In stock (19 available)"
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","31.05","0","Three","In stock (18 available)"
"The Four Agreements: A Practical Guide to Personal Freedom","17.66","0","Five","In stock (18 available)"
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","30.52","0","Three","In stock (19 available)"
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","22.5","0","Three","In stock (19 available)"
"The Bear and the Piano","36.89","0","One","In stock (18 available)"
"Worlds Elsewhere: Journeys Around Shakespeare’s Globe","40.3","0","Five","In stock (18 available)"
"Penny Maybe","33.29","0","Three","In stock (18 available)"
"In a Dark, Dark Wood","19.63","0","One","In stock (18 available)"
"Behind Closed Doors","52.22","0","Four","In stock (18 available)"
"Maude (1883-1993):She Grew Up with the country","18.02","0","Two","In stock (18 available)"
"You can't bury them all: Poems","33.63","0","Two","In stock (17 available)"
"Slow States of Collapse: Poems","57.31","0","Three","In stock (17 available)"
"Without Borders (Wanderlove #1)","45.07","0","Two","In stock (16 available)"
"Reasons to Stay Alive","26.41","0","Two","In stock (17 available)"
"Untitled Collection: Sabbath Poems 2014","14.27","0","Four","In stock (16 available)"
"When We Collided","31.77","0","One","In stock (16 available)"
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","23.11","0","Five","In stock (17 available)"
"Thirst","17.27","0","Five","In stock (16 available)"
"Private Paris (Private #10)","47.61","0","Five","In stock (17 available)"
"We Love You, Charlie Freeman","50.27","0","Five","In stock (16 available)"
"Unicorn Tracks","18.78","0","Three","In stock (16 available)"
"This One Summer","19.49","0","Four","In stock (16 available)"
"Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity","31.12","0","Three","In stock (16 available)"
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","25.52","0","One","In stock (16 available)"
"Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)","16.28","0","One","In stock (16 available)"
"The Secret of Dreadwillow Carse","56.13","0","One","In stock (16 available)"
"The Past Never Ends","56.5","0","Four","In stock (16 available)"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","44.18","0","Four","In stock (16 available)"
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","56.41","0","One","In stock (16 available)"
"The Natural History of Us (The Fine Art of Pretending #2)","45.22","0","Three","In stock (16 available)"
"The Torch Is Passed: A Harding Family Story","19.09","0","One","In stock (16 available)"
"The Nameless City (The Nameless City #1)","38.16","0","Four","In stock (16 available)"
"The Murder That Never Was (Forensic Instincts #5)","54.11","0","Three","In stock (16 available)"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","16.77","0","Three","In stock (16 available)"
"The Electric Pencil: Drawings from Inside State Hospital No. 3","56.06","0","One","In stock (16 available)"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","20.59","0","Five","In stock (16 available)"
"Soul Reader","39.58","0","Two","In stock (16 available)"
"The Most Perfect Thing: Inside (and Outside) a Bird's Egg","42.96","0","Four","In stock (16 available)"
"The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution","32.24","0","Five","In stock (16 available)"
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","23.89","0","Four","In stock (16 available)"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","49.05","0","Three","In stock (16 available)"
"The Art Forger","40.76","0","Three","In stock (16 available)"
"The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind","19.73","0","One","In stock (16 available)"
"The Death of Humanity: and the Case for Life","58.11","0","Four","In stock (16 available)"
"Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up","41.83","0","Four","In stock (16 available)"
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","50.4","0","Three","In stock (16 available)"
"The Gutsy Girl: Escapades for Your Life of Epic Adventure","37.13","0","One","In stock (16 available)"
"Security","39.25","0","Two","In stock (16 available)"
"Saga, Volume 5 (Saga (Collected Editions) #5)","51.04","0","Two","In stock (16 available)"
"Saga, Volume 6 (Saga (Collected Editions) #6)","25.02","0","Three","In stock (16 available)"
"Reskilling America: Learning to Labor in the Twenty-First Century","19.83","0","Two","In stock (16 available)"
"Princess Between Worlds (Wide-Awake Princess #5)","13.34","0","Five","In stock (16 available)"
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","13.61","0","Five","In stock (16 available)"
"Patience","10.16","0","Three","In stock (16 available)"
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","45.61","0","Three","In stock (16 available)"
"Online Marketing for Busy Authors: A Step-By-Step Guide","46.35","0","One","In stock (16 available)"
"Pop Gun War, Volume 1: Gift","18.97","0","One","In stock (16 available)"
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","14.02","0","Four","In stock (16 available)"
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","36.28","0","Two","In stock (16 available)"
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","15.44","0","Four","In stock (16 available)"
"Obsidian (Lux #1)","14.86","0","Two","In stock (16 available)"
"On a Midnight Clear","14.07","0","Three","In stock (16 available)"
"Masks and Shadows","56.4","0","Two","In stock (16 available)"
"Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)","53.9","0","Two","In stock (16 available)"
"Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)","19.92","0","Two","In stock (16 available)"
"orange: The Complete Collection 1 (orange: The Complete Collection #1)","48.41","0","One","In stock (16 available)"
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","46.91","0","Two","In stock (16 available)"
"My Paris Kitchen: Recipes and Stories","33.37","0","Two","In stock (16 available)"
"In the Country We Love: My Family Divided","22","0","Four","In stock (16 available)"
"Layered: Baking, Building, and Styling Spectacular Cakes","40.11","0","One","In stock (16 available)"
"Join","35.67","0","Five","In stock (16 available)"
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)","29.17","0","Two","In stock (16 available)"
"Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine","57.36","0","Five","In stock (16 available)"
"First and First (Five Boroughs #3)","15.97","0","Four","In stock (16 available)"
"How to Be Miserable: 40 Strategies You Already Use","46.03","0","One","In stock (16 available)"
"I am a Hero Omnibus Volume 1","54.63","0","Three","In stock (16 available)"
"Giant Days, Vol. 2 (Giant Days #5-8)","22.11","0","Two","In stock (16 available)"
"Her Backup Boyfriend (The Sorensen Family #1)","33.97","0","One","In stock (16 available)"
"Crown of Midnight (Throne of Glass #2)","43.29","0","Three","In stock (16 available)"
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master","37.97","0","Two","In stock (16 available)"
"Camp Midnight","17.08","0","Four","In stock (16 available)"
"Fifty Shades Darker (Fifty Shades #2)","21.96","0","One","In stock (16 available)"
"Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton","29.69","0","Three","In stock (16 available)"
"Everydata: The Misinformation Hidden in the Little Data You Consume Every Day","54.35","0","Two","In stock (16 available)"
"Danganronpa Volume 1","51.99","0","Four","In stock (16 available)"
"Bossypants","49.46","0","Two","In stock (16 available)"
"Burning","28.81","0","Three","In stock (16 available)"
"Codename Baboushka, Volume 1: The Conclave of Death","36.72","0","Four","In stock (16 available)"
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))","37.92","0","Two","In stock (16 available)"
"Call the Nurse: True Stories of a Country Nurse on a Scottish Isle","29.14","0","Five","In stock (16 available)"
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)","28.09","0","Two","In stock (16 available)"
"A World of Flavor: Your Gluten Free Passport","42.95","0","One","In stock (16 available)"
"Algorithms to Live By: The Computer Science of Human Decisions","30.81","0","One","In stock (16 available)"
"A Flight of Arrows (The Pathfinders #2)","55.53","0","Five","In stock (16 available)"
"A Fierce and Subtle Poison","28.13","0","Four","In stock (16 available)"
"(Un)Qualified: How God Uses Broken People to Do Big Things","54","0","Five","In stock (16 available)"
"A Murder in Time","16.64","0","One","In stock (16 available)"
"A Court of Thorns and Roses (A Court of Thorns and Roses #1)","52.37","0","One","In stock (16 available)"
"You Are What You Love: The Spiritual Power of Habit","21.87","0","Four","In stock (15 available)"
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations","56.76","0","Five","In stock (16 available)"
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)","43.3","0","Four","In stock (15 available)"
"Throne of Glass (Throne of Glass #1)","35.07","0","Three","In stock (15 available)"
"Tuesday Nights in 1980","21.04","0","Two","In stock (15 available)"
